user_id, num_tweets, retweet_ratio, hashtag_ratio, quote_ratio, tweet_favorite_ratio, tweet_retweet_ratio, mention_ratio, friend_follower_ratio, url_ratio, listed_count, verified, geo_enabled, protected, profile_uses_background_image, favourites_count, tweet_frequency_variance, class
1478061896,7599,0.47474747474747475,0.08080808080808081,0.030303030303030304,0.020202020202020204,1205.858585858586,0.6060606060606061,1.3196261682242991,0.5757575757575758,2,False,False,False,True,12,1076952872.185782,False
566513150,4618,0.5957446808510638,0.1702127659574468,0.05319148936170213,0.5425531914893617,19425.712765957447,0.925531914893617,0.941834451901566,0.11702127659574468,3,False,False,False,True,3568,10640887539.764332,False
2771923762,1463,0.6753246753246753,0.06493506493506493,0.23376623376623376,0.987012987012987,36463.44155844156,0.7012987012987013,0.975,0.19480519480519481,0,False,True,False,False,3074,10985971118.972973,False
46928242,19218,0.2,0.03,0.09,2.85,1932.93,0.73,1.0303030303030303,0.19,4,False,True,False,True,4918,240998188.35051543,False
286812376,52671,0.03,0.0,0.05,0.8,8.8,0.44,0.08386479591836735,0.05,15,False,True,False,True,1025,254037456.8231643,False
37885587,9620,0.05,0.27,0.0,0.68,0.4,0.75,0.4137630662020906,0.88,136,False,True,False,True,1613,71691467.85987797,False
2984951330,3400,0.8969072164948454,0.30927835051546393,0.020618556701030927,0.030927835051546393,55381.87628865979,1.0309278350515463,1.1111111111111112,0.26804123711340205,1,False,False,False,True,3886,146731535375.94916,False
2307249169,5138,0.81,0.1,0.06,0.18,8843.56,1.12,1.0149253731343284,0.07,1,False,True,False,True,12274,4776435095.672208,False
246456146,6900,0.0,0.15,0.0,0.13,0.0,0.22,2.473744292237443,1.0,17,False,True,False,True,253,7454533835.157164,False
806307024,2667,0.0,0.01,0.0,0.07,0.03,0.01,0.9567567567567568,1.03,4,False,False,False,True,0,1611434584633.3328,False
614467617,5448,0.01,0.1,0.07,0.8,0.13,1.48,0.10940919037199125,0.36,8,False,True,False,True,457,5778848166.39596,False
2562353909,1255,0.02,1.13,0.0,0.38,0.14,0.28,1.0909090909090908,0.84,9,False,False,False,True,400,8969013726.516726,False
415848343,4205,0.38,0.02,0.16,0.74,9316.12,0.69,1.0,0.19,1,False,True,False,False,4554,529520510.47559434,False
1088029112,13924,0.2571428571428571,0.2571428571428571,0.0,1.0285714285714285,3433.2285714285713,0.6285714285714286,0.6139380530973452,0.34285714285714286,4,False,False,False,True,13339,30690399630352.566,False
